['پژو پارس', '1391', '94,395', '450,000,000']
['کوییک', '1402', '5,306', '420,000,000']
['پژو 206', '1400', '31,933', '550,000,000']
['دنا پلاس', '1401', '6,474', '930,000,000']
['پژو پارس', '1402', '11,200', '690,000,000']
['پژو پارس', '1396', '80,872', '490,000,000']
['پژو پارس', '1401', '13,053', '610,000,000']
['دنا پلاس', '1401', '22,089', '905,000,000']
['کوییک', '1402', 'صفر', '525,000,000']
['چری تیگو 7', '1402', '4,205', '1,723,000,000']
['دنا پلاس', '1402', '23,305', '792,000,000']
['پژو پارس', '1398', '65,000', '630,000,000']
['تیگو 8  پرو', '1402', '16,000', '2,750,000,000']
['پژو 2008', '1397', '47,763', '2,000,000,000']
['کوییک', '1402', '22', '450,000,000']
['چری تیگو 5', '1396', '127,750', '1,000,000,000']
['سمند سورن', '1402', '18,000', '760,000,000']
['پژو 206', '1395', '60,938', '428,000,000']
['دنا پلاس', '1399', '5,000', '856,000,000']
['شاهین', '1400', '28,000', '627,000,000']
['سانگ یانگ نیوکوراندو', '2015', '35,000', '1,600,000,000']
['جک S5', '1401', '3,027', '1,540,000,000']
['تارا', '1403', '1,300', '965,000,000']
['هایما S5', '1402', '99', '1,500,000,000']
['تارا', '1402', '5,964', '800,000,000']
['تیبا', '1393', '176,813', '270,000,000']
['تندر 90 پارس خودرو', '1396', '126,684', '605,000,000']
['پراید 131', '1394', '104,000', '245,000,000']
['KMC J7', '1402', '53', '1,800,000,000']
['جک S5', '1400', '33,336', '1,489,000,000']
['کوپا T210', '1397', '105,797', '1,350,000,000']
['مزدا 3 جدید', '1397', '71,000', '2,260,000,000']
['سراتو سایپا', '1396', '57,224', '1,685,000,000']
['هیوندای اکسنت', '2014', '280', '1,650,000,000']
['تویوتا راو4', '2013', '205,623', '3,550,000,000']
['هایما S7', '1396', '93,000', '1,150,000,000']
['ون اینرودز', '1401', '7,106', '850,000,000']
['هایلوکس دو کابین', '2010', '230,000', '2,850,000,000']
['ام وی ام X22', '1399', '71,765', '790,000,000']
['چری تیگو 7', '1397', '67,851', '1,350,000,000']
['پادرا پلاس', '1401', '3,580', '630,000,000']
['رانا', '1393', '178,645', '410,000,000']
['پژو 206 صندوقدار', '1398', '103,014', '529,000,000']
['تویوتا کرولا', '2015', '76,400', '2,740,000,000']
['برلیانس H320', '1394', '83,695', '560,000,000']
['کمری هیبرید', '2016', '68,201', '4,700,000,000']
['تیگو 7 پرو', '1402', '147', '1,920,000,000']
['پژو 207', '1402', '86', '760,000,000']
['کوییک', '1402', '40', '522,000,000']
['پژو 206 صندوقدار', '1394', '100,540', '425,000,000']
['پژو 207', '1402', '4,758', '670,000,000']
['سانگ یانگ تیوولی', '2018', '53,687', '1,960,000,000']
['چری تیگو 5', '1397', '100,000', '1,100,000,000']
['هیوندای النترا', '2014', '151,000', '1,650,000,000']
['تارا', '1402', '14,993', '940,000,000']
['هیوندای آزرا', '2013', '163,000', '2,930,000,000']
['کوییک', '1402', 'صفر', '440,000,000']
['تیبا 2', '1397', '160,000', '315,000,000']
['کوییک', '1402', '14,445', '398,000,000']
['بورگوارد BX7', '2018', '63,976', '2,650,000,000']
['هیوندای اکسنت مونتاژ', '1397', '45,000', '1,850,000,000']
['کوییک', '1402', '4,357', '417,000,000']
['تارا', '1403', 'صفر', '840,000,000']
['دنا پلاس', '1400', '41,107', '734,000,000']
['تارا', '1402', '3,969', '1,150,000,000']
['پژو پارس', '1401', '27,248', '770,000,000']
['پژو 206 صندوقدار', '1397', '80,500', '516,000,000']
['سراتو سایپا', '1398', '69,275', '2,060,000,000']
['دنا پلاس', '1400', '31,802', '895,000,000']
